,School,Word
0,Yale,people
1,Yale,thing i
2,Yale,actual fact
3,Yale,entire suite
4,Yale,suite furniture
5,Princeton,way
6,Princeton,page sucks
7,Princeton,days
8,Princeton,person
9,Princeton,guys
10,Stanford,love
11,Stanford,Stanford
12,Stanford,fall
13,Stanford,reason
14,Stanford,family
15,UPenn,love
16,UPenn,life
17,UPenn,sex
18,UPenn,night
19,UPenn,point
20,UChicago,accommodations
21,UChicago,people
22,UChicago,SCS
23,UChicago,CW
24,UChicago,help
25,MIT,confessions
26,MIT,class
27,MIT,boyfriend
28,MIT,datamatch
29,MIT,shit
30,Harvard,heart
31,Harvard,years
32,Harvard,time
33,Harvard,people
34,Harvard,students
35,Columbia,times
36,Columbia,semester
37,Columbia,face
38,Columbia,things
39,Columbia,family
40,Northwestern,NU Crushes
41,Northwestern,NUCrushesAndConfessions
42,Northwestern,nuccfb
43,Northwestern,campus
44,Northwestern,page
45,Dartmouth,phone
46,Dartmouth,hand job
47,Dartmouth,worst feeling
48,Dartmouth,movie theater
49,Dartmouth,buddies
50,JHU,girl
51,JHU,way
52,JHU,people
53,JHU,life
54,JHU,times
55,Caltech,Confession
56,Caltech,campus
57,Caltech,people
58,Caltech,times
59,Caltech,years
60,Vanderbilt,people
61,Vanderbilt,Vanderbilt
62,Vanderbilt,Admin note
63,Vanderbilt,Confession
64,Vanderbilt,girls
65,Brown,people
66,Brown,time
67,Brown,campus
68,Brown,bathroom
69,Brown,girl
70,Cornell,years
71,Cornell,love
72,Cornell,reason
73,Cornell,night
74,Cornell,friends
75,Rice,people
76,Rice,page
77,Rice,prospie
78,Rice,wanna
79,Rice,way
80,Wash U St. Louis,people
81,Wash U St. Louis,months
82,Wash U St. Louis,friends
83,Wash U St. Louis,idea
84,Wash U St. Louis,college
85,Georgetown,campus
86,Georgetown,life
87,Georgetown,day
88,Georgetown,Harambe
89,Georgetown,guys
90,UMich,shit
91,UMich,posts
92,UMich,hell
93,UMich,memes
94,UMich,school
95,Berkeley,girlfriend
96,Berkeley,years
97,Berkeley,way
98,Berkeley,high school
99,Berkeley,people
100,Carnegie Mellon,time
101,Carnegie Mellon,CMU
102,Carnegie Mellon,love
103,Carnegie Mellon,class
104,Carnegie Mellon,years
105,Wake Forest,love
106,Wake Forest,time
107,Wake Forest,roommate
108,Wake Forest,girls
109,Wake Forest,night
110,NYU,scholarship
111,NYU,high school
112,NYU,life
113,NYU,campus
114,NYU,fact
115,University of Rochester,people
116,University of Rochester,dream
117,University of Rochester,Nick Potter's phone number
118,University of Rochester,shopper's club card phone number
119,University of Rochester,France
120,UNC Chapel Hill,girls
121,UNC Chapel Hill,people
122,UNC Chapel Hill,morning
123,UNC Chapel Hill,school
124,UNC Chapel Hill,campus
125,UCLA,guys
126,UCLA,school
127,UCLA,campus
128,UCLA,moment
129,UCLA,girlfriend
130,University of Florida,wow
131,University of Florida,Brittany Ashley
132,University of Florida,Ashley Baros-Kabler
133,University of Florida,awkward teenage romance
134,University of Florida,gay men
135,Boston University,years
136,Boston University,dining hall
137,Boston University,date
138,Boston University,GSU
139,Boston University,friends
140,UT Austin,semester
141,UT Austin,gonna
142,UT Austin,girl
143,UT Austin,time
144,UT Austin,friends
145,UCI,people
146,UCI,way
147,UCI,feelings
148,UCI,fact
149,UCI,home
150,University of West Georgia,sex
151,University of West Georgia,campus
152,University of West Georgia,friends
153,University of West Georgia,time
154,University of West Georgia,things
155,West Virginia,girlfriend
156,West Virginia,girls
157,West Virginia,guys
158,West Virginia,job
159,West Virginia,sister
160,Tufts,people
161,Tufts,time
162,Tufts,campus
163,Tufts,night
164,Tufts,relationship
165,Ohio State,people
166,Ohio State,boyfriend
167,Ohio State,girlfriend
168,Ohio State,time
169,Ohio State,girls
170,University of Oklahoma,friends
171,University of Oklahoma,time
172,University of Oklahoma,shit
173,University of Oklahoma,semester
174,University of Oklahoma,people
175,UCSB,elevator
176,UCSB,time i
177,UCSB,ass
178,UCSB,shit
179,UCSB,woman
180,Indiana University,comments
181,Indiana University,IU Confessions
182,Indiana University,page
183,Indiana University,person
184,Indiana University,tbt
185,Western Michigan,guys
186,Western Michigan,years
187,Western Michigan,night
188,Western Michigan,life
189,Western Michigan,roommate
190,Kennesaw State University,KSU Confession
191,Kennesaw State University,girl
192,Kennesaw State University,guy
193,Kennesaw State University,time
194,Kennesaw State University,boyfriend
195,Xavier,ARTSCIES
196,Xavier,XUC
197,Xavier,ENGINEERING
198,Xavier,Gusto lang ko mag
199,Xavier,heart
